start_time,stop_time,date,site_ID,sample_ID,FileID_csv,light_dark,run_block,chamber_channel,notes,weight_g,volume_mL,chla,chamber_type
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S3,S3.2_RUN1,S3.2_RUN1_O2.csv,LIGHT,K_RUN1,2,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S2,S2.3_RUN1,S2.3_RUN1_O2.csv,LIGHT,K_RUN1,3,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S3,S3.1_RUN1,S3.1_RUN1_O2.csv,LIGHT,K_RUN1,5,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S1,S1.2_RUN1,S1.2_RUN1_O2.csv,LIGHT,K_RUN1,6,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S3,S3.3_RUN1,S3.3_RUN1_O2.csv,LIGHT,K_RUN1,7,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S2,S2.1_RUN1,S2.1_RUN1_O2.csv,LIGHT,K_RUN1,8,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S1,S1.1_RUN1,S1.1_RUN1_O2.csv,LIGHT,K_RUN1,9,NA,1,350,1,BOD
2026-07-31T12:30:00Z,2026-07-31T16:00:00Z,2026-07-31,S2,S2.2_RUN1,S2.2_RUN1_O2.csv,LIGHT,K_RUN1,10,NA,1,350,1,BOD
2026-08-04T16:50:00Z,2026-08-04T17:09:00Z,2026-08-04,S2,S2.3_RUN2,S2.3_RUN2_O2.csv,DARK,K_RUN2,1,NA,1,350,1,BOD
2026-08-04T16:40:00Z,2026-08-04T17:00:00Z,2026-08-04,S3,S3.2_RUN2,S3.2_RUN2_O2.csv,DARK,K_RUN2,2,NA,1,350,1,BOD
2026-08-04T16:39:00Z,2026-08-04T17:09:00Z,2026-08-04,S1,S1.3_RUN2,S1.3_RUN2_O2.csv,DARK,K_RUN2,3,NA,1,350,1,BOD
2026-08-04T16:50:00Z,2026-08-04T17:46:00Z,2026-08-04,S3,S3.1_RUN2,S3.1_RUN2_O2.csv,DARK,K_RUN2,5,NA,1,350,1,BOD
2026-08-04T16:50:00Z,2026-08-04T17:55:00Z,2026-08-04,S2,S2.2_RUN2,S2.2_RUN2_O2.csv,DARK,K_RUN2,6,NA,1,350,1,BOD
2026-08-04T16:50:00Z,2026-08-04T17:09:00Z,2026-08-04,S1,S1.1_RUN2,S1.1_RUN2_O2.csv,DARK,K_RUN2,7,NA,1,350,1,BOD
2026-08-04T16:45:00Z,2026-08-04T17:07:00Z,2026-08-04,S3,S3.3_RUN2,S3.3_RUN2_O2.csv,DARK,K_RUN2,8,NA,1,350,1,BOD
2026-08-04T16:50:00Z,2026-08-04T17:09:00Z,2026-08-04,S2,S2.1_RUN2,S2.1_RUN2_O2.csv,DARK,K_RUN2,9,NA,1,350,1,BOD
2026-08-04T16:50:00Z,2026-08-04T17:09:00Z,2026-08-04,S1,S1.2_RUN2,S1.2_RUN2_O2.csv,DARK,K_RUN2,10,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S2,S2.3_RUN2,S2.3_RUN2_O2.csv,LIGHT,K_RUN2,1,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S3,S3.2_RUN2,S3.2_RUN2_O2.csv,LIGHT,K_RUN2,2,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S1,S1.3_RUN2,S1.3_RUN2_O2.csv,LIGHT,K_RUN2,3,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S3,S3.1_RUN2,S3.1_RUN2_O2.csv,LIGHT,K_RUN2,5,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S2,S2.2_RUN2,S2.2_RUN2_O2.csv,LIGHT,K_RUN2,6,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S1,S1.1_RUN2,S1.1_RUN2_O2.csv,LIGHT,K_RUN2,7,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S3,S3.3_RUN2,S3.3_RUN2_O2.csv,LIGHT,K_RUN2,8,NA,1,350,1,BOD
2026-08-04T15:24:00Z,2026-08-04T16:21:00Z,2026-08-04,S2,S2.1_RUN2,S2.1_RUN2_O2.csv,LIGHT,K_RUN2,9,NA,1,350,1,BOD
2026-08-04T14:50:00Z,2026-08-04T16:21:00Z,2026-08-04,S1,S1.2_RUN2,S1.2_RUN2_O2.csv,LIGHT,K_RUN2,10,NA,1,350,1,BOD
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S1,S1.1_RUN3,S1.1_RUN3_O2.csv,DARK,K_RUN3,1,NA,1,350,1,BOD
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S1,S1.2_RUN3,S1.2_RUN3_O2.csv,DARK,K_RUN3,2,NA,1,500,1,MASON
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S1,S1.3_RUN3,S1.3_RUN3_O2.csv,DARK,K_RUN3,3,NA,1,500,1,MASON
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S2,S2.1_RUN3,S2.1_RUN3_O2.csv,DARK,K_RUN3,4,NA,1,350,1,BOD
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S2,S2.2_RUN3,S2.2_RUN3_O2.csv,DARK,K_RUN3,5,NA,1,350,1,BOD
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S2,S2.3_RUN3,S2.3_RUN3_O2.csv,DARK,K_RUN3,6,NA,1,500,1,MASON
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S3,S3.1_RUN3,S3.1_RUN3_O2.csv,DARK,K_RUN3,7,NA,1,350,1,BOD
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S3,S3.2_RUN3,S3.2_RUN3_O2.csv,DARK,K_RUN3,8,NA,1,500,1,MASON
2026-08-06T10:15:00Z,2026-08-06T12:23:00Z,2026-08-06,S3,S3.3_RUN3,S3.3_RUN3_O2.csv,DARK,K_RUN3,9,NA,1,350,1,BOD
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S1,S1.1_RUN3,S1.1_RUN3_O2.csv,LIGHT,K_RUN3,1,NA,1,350,1,BOD
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S1,S1.2_RUN3,S1.2_RUN3_O2.csv,LIGHT,K_RUN3,2,NA,1,500,1,MASON
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S1,S1.3_RUN3,S1.3_RUN3_O2.csv,LIGHT,K_RUN3,3,NA,1,500,1,MASON
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S2,S2.1_RUN3,S2.1_RUN3_O2.csv,LIGHT,K_RUN3,4,NA,1,350,1,BOD
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S2,S2.2_RUN3,S2.2_RUN3_O2.csv,LIGHT,K_RUN3,5,NA,1,350,1,BOD
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S2,S2.3_RUN3,S2.3_RUN3_O2.csv,LIGHT,K_RUN3,6,NA,1,500,1,MASON
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S3,S3.1_RUN3,S3.1_RUN3_O2.csv,LIGHT,K_RUN3,7,NA,1,350,1,BOD
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S3,S3.2_RUN3,S3.2_RUN3_O2.csv,LIGHT,K_RUN3,8,NA,1,500,1,MASON
2026-08-06T12:23:00Z,2026-08-06T16:27:00Z,2026-08-06,S3,S3.3_RUN3,S3.3_RUN3_O2.csv,LIGHT,K_RUN3,9,NA,1,350,1,BOD
2026-09-01T10:29:00Z,2026-09-01T13:00:00Z,2026-09-01,S1,S1.1_RUN4,S1.1_RUN4_O2.csv,DARK,K_RUN4,3,NA,1,350,1,BOD
2026-09-01T10:29:00Z,2026-09-01T13:00:00Z,2026-09-01,S1,S1.2_RUN4,S1.2_RUN4_O2.csv,DARK,K_RUN4,4,NA,1,500,1,MASON
2026-09-01T10:29:00Z,2026-09-01T13:00:00Z,2026-09-01,S1,S1.3_RUN4,S1.3_RUN4_O2.csv,DARK,K_RUN4,5,NA,1,500,1,MASON
2026-09-01T10:29:00Z,2026-09-01T13:00:00Z,2026-09-01,S1,S1.4_RUN4,S1.4_RUN4_O2.csv,DARK,K_RUN4,6,NA,1,350,1,BOD
2026-09-01T10:29:00Z,2026-09-01T13:00:00Z,2026-09-01,S2,S2.1_RUN4,S2.1_RUN4_O2.csv,DARK,K_RUN4,7,NA,1,500,1,MASON
2026-09-01T10:29:00Z,2026-09-01T13:00:00Z,2026-09-01,S2,S2.2_RUN4,S2.2_RUN4_O2.csv,DARK,K_RUN4,8,NA,1,500,1,MASON
2026-09-01T10:29:00Z,2026-09-01T13:00:00Z,2026-09-01,S2,S2.4_RUN4,S2.4_RUN4_O2.csv,DARK,K_RUN4,10,NA,1,350,1,BOD
2026-09-01T13:00:00Z,2026-09-01T15:30:00Z,2026-09-01,S1,S1.1_RUN4,S1.1_RUN4_O2.csv,LIGHT,K_RUN4,3,NA,1,350,1,BOD
2026-09-01T13:00:00Z,2026-09-01T15:30:00Z,2026-09-01,S1,S1.2_RUN4,S1.2_RUN4_O2.csv,LIGHT,K_RUN4,4,NA,1,500,1,MASON
2026-09-01T13:00:00Z,2026-09-01T15:30:00Z,2026-09-01,S1,S1.3_RUN4,S1.3_RUN4_O2.csv,LIGHT,K_RUN4,5,NA,1,500,1,MASON
2026-09-01T13:00:00Z,2026-09-01T15:30:00Z,2026-09-01,S1,S1.4_RUN4,S1.4_RUN4_O2.csv,LIGHT,K_RUN4,6,NA,1,350,1,BOD
2026-09-01T13:00:00Z,2026-09-01T15:30:00Z,2026-09-01,S2,S2.1_RUN4,S2.1_RUN4_O2.csv,LIGHT,K_RUN4,7,NA,1,500,1,MASON
2026-09-01T13:00:00Z,2026-09-01T15:30:00Z,2026-09-01,S2,S2.2_RUN4,S2.2_RUN4_O2.csv,LIGHT,K_RUN4,8,NA,1,500,1,MASON
2026-09-01T13:00:00Z,2026-09-01T15:30:00Z,2026-09-01,S2,S2.4_RUN4,S2.4_RUN4_O2.csv,LIGHT,K_RUN4,10,NA,1,350,1,BOD
